,Time (hours),Voltage,Power 200Ω (Wh)
0,0.15362,9.29833,0.4322947039445
1,0.16335,9.18595,0.4219083870125
2,0.17375,9.09605,0.4136906280125
3,0.22086,8.98929,0.4040366735205001
4,0.36219,8.90875,0.39682913281249993
5,0.45641,8.81884,0.38885969472799997
6,0.59773,8.70833,0.3791750569445
7,0.78617,8.60532,0.3702576615120001
8,1.02171,8.51167,0.36224263094450004
9,1.21015,8.42177,0.35463104966450004
10,1.4928,8.32437,0.34647567948450003
11,1.77546,8.22697,0.33841517690449996
12,2.15233,8.13145,0.3306023955124999
13,2.60457,8.02769,0.3222190336805
14,3.01913,7.93329,0.3146854511205
15,3.65981,7.8239,0.30606705605
16,4.50777,7.70815,0.29707788211249997
17,5.26151,7.6145,0.28990305124999993
18,6.10947,7.51973,0.2827316963645
19,7.05164,7.42982,0.276011126162
20,7.99382,7.33692,0.26915197543200003
21,8.84178,7.24927,0.26275957766450003
22,9.59552,7.15936,0.256282178048
23,10.25505,7.06821,0.24979796302049997
24,10.82035,6.9858,0.24400700820000001
25,11.38566,6.90089,0.23811141396050003
26,11.95096,6.80599,0.23160749940050004
27,12.51627,6.72108,0.22586458183199998
28,13.08157,6.61619,0.21886985058049999
29,13.55266,6.49507,0.2109296715245
30,14.02375,6.38207,0.20365408742449997
31,14.40062,6.26032,0.195958032512
32,14.77749,6.13858,0.188410822082
33,15.11668,5.99735,0.1798410351125
34,15.53123,5.86324,0.17188791648800003
35,15.71967,5.74337,0.16493149478449998
36,16.05885,5.63624,0.158836006688
37,16.36035,5.50138,0.151325909522
38,16.53622,5.39749,0.1456644915005
39,16.81259,5.27812,0.13929275367200003
40,16.99161,5.15338,0.132786627122
41,17.18947,5.03837,0.12692586128449998
