Time (hours),Voltage,
0.15362,9.29833,
0.16335,9.18595,
0.17375,9.09605,
0.22086,8.98929,
0.36219,8.90875,
0.45641,8.81884,
0.59773,8.70833,
0.78617,8.60532,
1.02171,8.51167,
1.21015,8.42177,
1.49280,8.32437,
1.77546,8.22697,
2.15233,8.13145,
2.60457,8.02769,
3.01913,7.93329,
3.65981,7.82390,
4.50777,7.70815,
5.26151,7.61450,
6.10947,7.51973,
7.05164,7.42982,
7.99382,7.33692,
8.84178,7.24927,
9.59552,7.15936,
10.25505,7.06821,
10.82035,6.98580,
11.38566,6.90089,
11.95096,6.80599,
12.51627,6.72108,
13.08157,6.61619,
13.55266,6.49507,
14.02375,6.38207,
14.40062,6.26032,
14.77749,6.13858,
15.11668,5.99735,
15.53123,5.86324,
15.71967,5.74337,
16.05885,5.63624,
16.36035,5.50138,
16.53622,5.39749,
16.81259,5.27812,
16.99161,5.15338,
17.18947,5.03837,
